 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"150460 Mocajuba";19;19;17;22;32;41;36;26;34;27;23;27;323
"150470 Moju";55;65;70;67;65;80;66;85;102;93;77;85;910
"150480 Monte Alegre";95;4;101;99;100;101;65;9;-;89;88;89;840
"150490 Muaná";29;28;33;35;34;31;32;27;27;23;28;20;347
"150495 Nova Esperança do Piriá";2;3;3;4;3;1;1;1;-;15;2;-;35
"150497 Nova Ipixuna";4;5;8;8;6;7;5;6;3;3;1;7;63
"150500 Nova Timboteua";25;19;18;12;18;17;17;10;16;18;17;10;197
"150503 Novo Progresso";2;3;4;5;6;7;10;15;6;5;5;10;78
"150506 Novo Repartimento";95;74;75;74;88;82;85;89;74;75;63;74;948
"150510 Óbidos";16;21;4;8;23;42;28;49;32;39;47;35;344
"150520 Oeiras do Pará";25;25;32;52;47;28;22;22;32;29;31;41;386
"150530 Oriximiná";27;19;46;51;54;91;84;69;74;98;71;77;761
"150540 Ourém";29;26;29;18;29;23;25;37;33;14;15;18;296
"150543 Ourilândia do Norte";21;15;20;16;21;13;25;21;26;23;11;14;226
"150548 Pacajá";48;27;43;44;27;41;35;40;42;42;40;43;472
"150549 Palestina do Pará";10;7;6;3;8;11;8;5;8;8;10;4;88
"150550 Paragominas";196;165;205;188;161;138;175;187;172;148;176;175;2086
"150553 Parauapebas";164;162;162;159;145;117;169;191;156;181;155;135;1896
"150555 Pau D'Arco";8;6;13;11;14;11;11;8;8;13;6;7;116
"150560 Peixe-Boi";9;13;14;14;6;6;11;11;14;16;6;9;129
"150563 Piçarra";15;8;14;10;11;9;6;3;9;8;7;6;106
"150565 Placas";13;9;10;8;9;6;19;14;12;8;10;13;131
"150570 Ponta de Pedras";19;24;18;18;15;21;18;18;14;14;11;17;207
"150580 Portel";58;46;60;60;53;59;56;54;70;68;56;64;704
"150590 Porto de Moz";35;20;21;33;13;22;35;30;34;28;21;27;319
"150600 Prainha";37;33;46;26;45;51;47;36;44;57;41;64;527
"150610 Primavera";22;21;29;15;18;6;18;21;20;16;10;4;200
"150611 Quatipuru";6;13;25;9;15;10;18;24;11;16;13;8;168
"150613 Redenção";165;155;148;96;127;123;137;83;103;112;114;126;1489
"150616 Rio Maria";37;34;30;38;29;27;26;35;40;28;26;28;378
"150618 Rondon do Pará";15;32;35;22;103;71;101;88;104;82;82;76;811
"150619 Rurópolis";32;29;32;42;46;27;37;43;34;29;14;24;389
"150620 Salinópolis";90;57;70;78;90;37;83;82;25;38;70;63;783
"150630 Salvaterra";20;18;20;34;14;15;16;14;19;11;5;16;202
"150635 Santa Bárbara do Pará";18;7;22;18;22;16;21;13;27;17;23;14;218
"150640 Santa Cruz do Arari";3;6;7;3;3;6;4;5;5;6;5;1;54
"150650 Santa Izabel do Pará";72;77;85;78;81;78;84;96;83;91;72;82;979
"150655 Santa Luzia do Pará";43;35;28;30;31;44;47;33;35;30;29;27;412
"150658 Santa Maria das Barreiras";11;7;4;7;4;7;9;4;2;8;7;3;73
"150660 Santa Maria do Pará";44;43;40;23;38;46;29;49;44;53;41;31;481
"150670 Santana do Araguaia";18;15;18;27;39;31;26;32;33;38;18;28;323
"150680 Santarém";530;506;581;625;621;645;594;611;661;597;547;562;7080
"150690 Santarém Novo";6;11;7;9;13;9;7;5;5;11;7;11;101
"150700 Santo Antônio do Tauá";30;27;50;40;46;42;35;32;58;34;41;43;478
"150710 São Caetano de Odivelas";18;18;13;15;13;13;20;21;20;18;23;14;206
"150715 São Domingos do Araguaia";41;40;34;1;38;41;39;37;46;44;38;31;430
"150720 São Domingos do Capim";38;28;27;29;31;23;9;38;44;32;33;36;368
"150730 São Félix do Xingu";25;39;21;24;32;25;43;63;65;44;44;66;491
"150740 São Francisco do Pará";26;17;19;11;13;16;10;17;16;23;20;17;205
"150745 São Geraldo do Araguaia";38;39;40;18;43;38;32;53;40;52;40;37;470
"150746 São João da Ponta";-;1;-;-;1;2;-;1;3;1;4;4;17
"150747 São João de Pirabas";20;28;26;17;26;21;18;28;25;25;19;20;273
"150750 São João do Araguaia";13;5;11;1;5;13;14;5;6;5;6;10;94
"150760 São Miguel do Guamá";88;72;79;75;80;58;76;84;70;62;46;41;831
"150770 São Sebastião da Boa Vista";23;24;8;17;22;24;34;26;38;31;22;15;284
"150775 Sapucaia";10;6;10;5;6;4;6;5;7;6;5;5;75
"150780 Senador José Porfírio";9;14;11;15;9;17;11;7;9;9;11;21;143
"150790 Soure";49;47;28;41;46;35;62;52;49;26;28;36;499
"150795 Tailândia";84;65;68;6;72;73;72;89;75;62;63;80;809
"150796 Terra Alta";10;10;12;4;5;12;7;14;5;6;13;10;108
"150797 Terra Santa";17;12;15;21;13;15;23;19;21;19;19;17;211
"150800 Tomé-Açu";53;47;56;54;68;48;53;59;81;53;75;63;710
"150803 Tracuateua";15;7;6;7;19;18;35;40;31;29;11;17;235
"150805 Trairão";5;2;14;3;4;15;5;14;6;5;4;2;79
"150808 Tucumã";-;3;1;1;1;2;53;56;40;50;56;33;296
"150810 Tucuruí";162;86;152;144;89;110;120;117;104;70;78;120;1352
"150812 Ulianópolis";23;30;23;26;20;22;24;28;29;36;14;21;296
"150815 Uruará";24;20;39;46;44;35;42;61;42;63;48;43;507
"150820 Vigia";58;66;47;55;57;66;40;75;63;60;49;43;679
"150830 Viseu";24;30;48;43;48;89;68;95;86;77;67;98;773
"150835 Vitória do Xingu";14;16;6;21;17;11;12;13;16;14;17;11;168
"150840 Xinguara";36;39;36;59;41;47;41;36;48;42;44;32;501
"150000 Município ignorado - PA";5;3;1;7;4;3;7;4;-;3;6;1;44
"160010 Amapá";12;14;8;12;17;10;12;15;15;12;12;19;158
"160020 Calçoene";15;16;19;17;10;11;9;16;7;1;2;-;123
"160021 Cutias";-;-;-;-;1;-;-;-;-;-;1;-;2
"160023 Ferreira Gomes";12;6;6;9;3;3;1;5;10;12;4;6;77
"160025 Itaubal";-;-;-;1;1;-;2;-;2;1;-;-;7
"160027 Laranjal do Jari";71;52;82;56;71;70;71;61;69;76;7;16;702
"160030 Macapá";772;722;766;782;808;814;813;824;843;803;722;825;9494
"160040 Mazagão";17;17;21;14;17;19;25;15;17;18;14;21;215
"160050 Oiapoque";13;19;19;24;13;18;20;12;14;11;14;2;179
"160015 Pedra Branca do Amapari";8;3;1;2;8;1;-;1;7;13;6;9;59
