 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1994
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"150815 Uruará";5;3;5;-;4;4;3;9;13;40;38;27;-;151
"150820 Vigia";66;50;57;69;56;50;50;63;64;46;50;61;-;682
"150830 Viseu";18;14;25;14;22;16;16;21;21;34;25;26;-;252
"150835 Vitória do Xingu";12;5;11;3;10;8;6;8;19;10;12;13;-;117
"150840 Xinguara";57;44;55;47;70;65;45;31;23;42;76;70;1;626
"150000 Município ignorado - PA";30;2;-;2;6;2;2;2;3;4;1;1;-;55
"160010 Amapá";16;3;12;10;13;13;8;7;1;2;7;1;-;93
"160020 Calçoene";1;-;1;1;1;-;-;1;-;-;3;-;-;8
"160021 Cutias";1;1;-;-;2;-;-;-;1;-;-;-;-;5
"160023 Ferreira Gomes";3;-;-;1;-;1;5;1;1;2;-;2;-;16
"160025 Itaubal";1;-;-;-;-;-;-;-;-;-;2;-;-;3
"160027 Laranjal do Jari";92;56;70;47;68;73;76;69;77;87;80;82;-;877
"160030 Macapá";599;552;613;652;245;630;690;771;696;701;689;604;1;7443
"160040 Mazagão";6;5;8;3;5;6;7;5;4;11;7;7;-;74
"160050 Oiapoque";-;1;-;-;-;-;2;-;-;-;1;-;-;4
"160015 Pedra Branca do Amapari";6;-;-;-;-;-;-;-;-;-;-;-;-;6
"160053 Porto Grande";15;7;11;15;7;12;11;12;11;5;8;9;-;123
"160055 Pracuúba";1;-;-;-;-;-;1;-;-;-;1;-;-;3
"160060 Santana";186;176;179;199;194;198;189;194;134;193;185;147;-;2174
"160005 Serra do Navio";4;-;-;-;-;-;-;-;-;-;5;-;-;9
"160070 Tartarugalzinho";-;2;-;3;4;1;-;4;2;4;-;1;-;21
"170025 Abreulândia";6;2;1;-;3;-;6;4;4;3;3;7;-;39
"170035 Aliança do Tocantins";16;20;16;15;19;22;21;16;17;10;6;2;-;180
"170040 Almas";7;3;4;7;2;-;3;8;3;4;3;2;-;46
"170070 Alvorada";13;12;16;15;13;15;20;18;11;9;11;10;-;163
"170100 Ananás";-;-;10;4;3;2;2;5;20;14;2;-;-;62
"170105 Angico";4;2;10;5;4;2;7;1;15;-;3;4;-;57
"170110 Aparecida do Rio Negro";4;3;7;5;4;4;3;6;5;4;6;4;-;55
"170130 Aragominas";4;1;3;-;-;1;4;6;2;5;3;3;-;32
"170190 Araguacema";5;6;3;10;8;11;10;8;7;5;11;8;-;92
"170200 Araguaçu";4;1;4;3;2;-;2;-;6;2;-;1;-;25
"170210 Araguaína";165;156;135;146;164;83;224;237;245;239;223;184;-;2201
"170215 Araguanã";1;-;2;-;2;1;-;3;-;-;2;1;-;12
"170220 Araguatins";45;24;53;42;63;46;50;53;43;31;30;37;-;517
"170230 Arapoema";18;14;25;12;14;14;15;19;20;13;12;4;-;180
"170240 Arraias";10;18;11;19;24;18;21;24;16;21;16;18;-;216
"170255 Augustinópolis";23;23;39;35;27;20;38;40;28;50;31;30;-;384
"170270 Aurora do Tocantins";6;4;3;5;2;5;6;5;3;1;3;2;-;45
"170290 Axixá do Tocantins";20;20;19;16;7;9;18;15;8;17;19;4;-;172
"170300 Babaçulândia";6;3;8;10;4;7;8;10;4;8;4;5;-;77
"170310 Barrolândia";7;6;7;14;11;5;10;12;9;11;5;8;1;106
"170320 Bernardo Sayão";7;5;2;4;7;3;6;4;6;6;7;3;-;60
"170330 Bom Jesus do Tocantins";1;1;-;4;1;1;-;3;3;1;-;3;-;18
"170360 Brasilândia do Tocantins";1;1;4;4;6;4;3;1;6;4;3;2;-;39
"170370 Brejinho de Nazaré";12;9;15;11;14;13;17;18;17;7;11;3;-;147
"170380 Buriti do Tocantins";11;11;11;14;13;13;21;24;16;21;19;7;-;181
"170382 Cachoeirinha";6;1;2;2;1;2;1;1;4;1;3;2;-;26
"170384 Campos Lindos";2;5;1;2;3;1;1;-;4;1;3;2;-;25
"170386 Cariri do Tocantins";3;6;4;3;7;3;4;6;3;4;4;2;-;49
"170388 Carmolândia";-;4;6;6;2;-;1;2;1;5;4;3;-;34
"170389 Carrasco Bonito";3;5;4;5;7;6;8;9;3;12;3;2;-;67
"170390 Caseara";4;4;9;8;4;4;9;5;1;10;2;5;-;65
"170410 Centenário";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"170550 Colinas do Tocantins";47;65;56;51;54;64;85;68;87;54;53;28;-;712
"171670 Colméia";17;20;15;18;9;11;10;19;15;5;7;1;-;147
"170555 Combinado";3;7;8;7;6;4;5;2;5;3;8;5;-;63
"170560 Conceição do Tocantins";2;-;3;6;8;3;1;4;10;8;4;2;-;51
"170600 Couto Magalhães";12;9;3;3;5;1;4;2;1;1;5;3;-;49
