Sigla,Codigo,Munic’pio,1991,2000
BA,2927804,Santa Cruz da Vit—ria,4527,4988
BA,2927903,Santa Inês,9049,10374
BA,2928000,Santaluz,12704,17966
BA,2928059,Santa Luzia,7410,8329
BA,2928109,Santa Maria da Vit—ria,20774,22787
BA,2928208,Santana,11589,12496
BA,2928307,Santan—polis,785,1250
BA,2928406,Santa Rita de C‡ssia,10621,12185
BA,2928505,Santa Teresinha,1378,1859
BA,2928604,Santo Amaro,40894,44505
BA,2928703,Santo Ant™nio de Jesus,52855,66245
BA,2928802,Santo Estêv‹o,12654,19693
BA,2928901,S‹o Desid_rio,5539,7129
BA,2928950,S‹o Domingos,3442,3711
BA,2929008,S‹o F_lix,7420,8748
BA,2929057,S‹o F_lix do Coribe,6764,8552
BA,2929107,S‹o Felipe,6906,8250
BA,2929206,S‹o Francisco do Conde,15734,21870
BA,2929255,S‹o Gabriel,6997,9811
BA,2929305,S‹o Gonçalo dos Campos,11372,13552
BA,2929354,S‹o Jos_ da Vit—ria,5217,5154
BA,2929370,S‹o Jos_ do Jacu’pe,3633,5701
BA,2929404,S‹o Miguel das Matas,2040,2772
BA,2929503,S‹o Sebasti‹o do Pass_,25806,29549
BA,2929602,Sapeaçu,6347,7524
BA,2929701,S‡tiro Dias,2290,3426
BA,2929750,Saubara,5469,10076
BA,2929800,Saœde,5515,5991
BA,2929909,Seabra,12432,16749
BA,2930006,Sebasti‹o Laranjeiras,2529,3639
BA,2930105,Senhor do Bonfim,49087,51343
BA,2930154,Serra do Ramalho,2159,3742
BA,2930204,Sento S_,12380,17264
BA,2930303,Serra Dourada,4242,5377
BA,2930402,Serra Preta,488,5692
BA,2930501,Serrinha,37854,45943
BA,2930600,Serrol‰ndia,4743,6042
BA,2930709,Sim›es Filho,44419,76905
BA,2930758,S’tio do Mato,5665,6470
BA,2930766,S’tio do Quinto,2147,3662
BA,2930774,Sobradinho,19482,19610
BA,2930808,Souto Soares,2802,5080
BA,2930907,Tabocas do Brejo Velho,2766,3431
BA,2931004,Tanhaçu,4969,7017
BA,2931053,Tanque Novo,3346,5535
BA,2931103,Tanquinho,5820,5082
BA,2931202,Tapero‡,7308,7523
BA,2931301,Tapiramut‡,8795,12425
BA,2931350,Teixeira de Freitas,74221,98688
BA,2931400,Teodoro Sampaio,6490,6627
BA,2931509,Teofil‰ndia,3779,5858
BA,2931608,Teol‰ndia,1759,3606
BA,2931707,Terra Nova,10003,11131
BA,2931806,Tremedal,2757,3503
BA,2931905,Tucano,10131,18597
BA,2932002,Uau‡,7251,9608
BA,2932101,Uba’ra,7085,8010
BA,2932200,Ubaitaba,12508,18582
BA,2932309,Ubat‹,19430,17847
BA,2932408,Uiba’,6818,7880
BA,2932457,Umburanas,4564,6186
BA,2932507,Una,5347,15274
BA,2932606,Urandi,3472,4730
BA,2932705,Uruçuca,9040,14158
BA,2932804,Utinga,7449,11472
BA,2932903,Valença,43699,55884
BA,2933000,Valente,6438,9511
BA,2933059,V‡rzea da Roça,3963,5847
BA,2933109,V‡rzea do Poço,4276,5034
BA,2933158,V‡rzea Nova,7117,8683
BA,2933174,Varzedo,1704,2627
